,isim,baslangicT,bitisTarih,tur,konuPuan,aktorS,oyuncuKadroPuan,imdb,sezonSayisi,sezonDurumu
0,Kaynanalar,1974,1976,Comedy,15.5,"Tekin Akmansoy,Leman Çidamli,Sevda Aydan,Hasim Hekimoglu",6.8,6.8,3,olgun
1,Çarkifelek,1975,2018,Game-Show,12.0,"Emre Karayel,Elif Akçam,Çigdem Akçam,Aysegül Güven",5.970000000000001,5.6,44,olgun
2,Sipsevdi,1977,1979,Comedy,16.0,"Mehmet Ali Erbil,Sezer Güvenirgil,Korhan Abay,Handan Adali",2.96875,2.9,3,olgun
3,32.Gün,1985,2018,News,15.0,"Mehmet Ali Birand,Umur Birand,Can Dündar",7.611111111111111,8.2,34,olgun
4,Perihan Abla,1986,1988,Comedy,15.666666666666666,"Seyyal Taner,Perran Kutman,Sevket Altug,Ercan Yazgan",7.562499999999999,7.6,3,olgun
5,Duvardaki kan,1986,1988,Drama,14.0,"Altan Akisik,Nevin Akkaya,Fahri Aktürk,Halit Akçatepe",7.445,7.5,3,olgun
6,Olacak O Kadar,1986,2010,Comedy,16.0,"Oya Basar,Levent Kirca,Cüneyt Arkin,Ali Demirel",6.702500000000001,8.4,25,olgun
7,Varsayalim Ismail,1986,1987,Comedy,16.0,"Suzan Akay,Demet Akbag,Caner Alkaya,Derya Baykal",7.053125,7.7,2,basarili
8,Gecenin Öteki Yüzü,1987,1989,Drama,18.0,"Ece Alton,Haluk Bilginer,Müsfik Kenter,Haluk Kurtoglu",6.894166666666667,7.5,3,olgun
9,Uzayli Zekiye,1987,1989,Comedy,15.0,"Seden Kiziltunç,Münir Özkul,Dogu Erkan,Üstün Asutay",6.6,6.6,3,olgun
10,Güler misin aglar misin,1988,1990,Comedy,17.0,"Metin Akpinar,Zeki Alasya,Asuman Arsan,Arzu Atalay",5.361666666666666,6.2,3,olgun
11,Bizimkiler,1989,2002,Comedy,15.5,"Ercan Yazgan,Halit Akçatepe,Erdal Özyagcilar,Ayse Kökçü",7.32,8.2,14,olgun
12,Susam sokagi,1989,1991,Comedy,15.5,"Köksal Engür,Altan Erkekli,Güven Hokna,Alpay Izbirak",7.086249999999999,7.2,3,olgun
13,Doktorlar,1989,1991,Adventure,16.5,"Arif Akkaya,Cüneyt Arkin,Nevin Aypar,Ahmet Açan",4.515,4.2,3,olgun
14,Ortabereket,1990,1991,Drama,18.0,"Recep Acay,Hakan Akin,Bulent Aksoy,Dersu Yavuz Altun",7.075000000000001,7.3,2,basarili
15,Ana,1991,1993,Comedy,16.0,"Aysen Gruda,Aykut Oray,Selen Büke,Mehmet Beyazit",6.875,7.2,3,olgun
16,Alim Dayi,1991,1995,Comedy,16.0,"Metin Bilgin,Ilhan Ersoy,Esin Karakullukcu,Kemal Kuruçay",7.8187500000000005,7.9,5,olgun
17,Plastip Show,1991,1994,Short,8.0,"Baris Manço,Aydogan Temel,Murat Disli,Ali Zeytinbas",5.8,5.8,4,olgun
18,Laf lafi açiyor,1991,2007,Comedy,15.0,"Cem Özer,Müjdat Gezen,Cenk Koray,Coskun Sabah",6.25,6.2,17,olgun
19,Show Ana Haber,1991,1993,News,15.0,"Jülide Ates,Pinar Erbas,Ece Üner",6.400000000000001,6.4,3,olgun
20,Mahallenin Muhtarlari,1992,2002,Comedy,15.5,"Umut Açabuga,Naz Onel,Atilla Sendil,Aleyna Uçar",6.2125,6.0,11,olgun
21,Saygilar bizden,1992,1994,Comedy,16.0,"Kemal Sunal,Alev Oraloglu,Erol Demiröz,Hakan Haksun",7.258333333333333,7.3,3,olgun
22,Zeki Metince,1992,1993,Comedy,16.0,"Erdinç Akbas,Metin Akpinar,Zeki Alasya,Hayrettin Aslan",5.749166666666667,7.0,2,basarili
23,Tatli Betüs,1993,1995,Comedy,17.0,"Türkan Soray,Tarik Tarcan,Taner Barlas,Cem Davran",5.429166666666666,6.7,3,olgun
