,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,oyuncuKadroPuan,imdb
0,Kaynanalar,1974,1976,3,olgun,Comedy,15.5,"Tekin Akmansoy,Leman Çidamli,Sevda Aydan,Hasim Hekimoglu",6.8,6.8
1,Çarkifelek,1975,2018,44,olgun,Game-Show,12.0,"Emre Karayel,Elif Akçam,Çigdem Akçam,Aysegül Güven",5.970000000000001,5.6
2,Sipsevdi,1977,1979,3,olgun,Comedy,16.0,"Mehmet Ali Erbil,Sezer Güvenirgil,Korhan Abay,Handan Adali",2.96875,2.9
3,32.Gün,1985,2018,34,olgun,News,15.0,"Mehmet Ali Birand,Umur Birand,Can Dündar",7.611111111111111,8.2
4,Perihan Abla,1986,1988,3,olgun,Comedy,15.666666666666666,"Seyyal Taner,Perran Kutman,Sevket Altug,Ercan Yazgan",7.562499999999999,7.6
5,Duvardaki kan,1986,1988,3,olgun,Drama,14.0,"Altan Akisik,Nevin Akkaya,Fahri Aktürk,Halit Akçatepe",7.445,7.5
6,Olacak O Kadar,1986,2010,25,olgun,Comedy,16.0,"Oya Basar,Levent Kirca,Cüneyt Arkin,Ali Demirel",6.702500000000001,8.4
7,Varsayalim Ismail,1986,1987,2,basarili,Comedy,16.0,"Suzan Akay,Demet Akbag,Caner Alkaya,Derya Baykal",7.053125,7.7
8,Gecenin Öteki Yüzü,1987,1989,3,olgun,Drama,18.0,"Ece Alton,Haluk Bilginer,Müsfik Kenter,Haluk Kurtoglu",6.894166666666667,7.5
9,Uzayli Zekiye,1987,1989,3,olgun,Comedy,15.0,"Seden Kiziltunç,Münir Özkul,Dogu Erkan,Üstün Asutay",6.6,6.6
10,Güler misin aglar misin,1988,1990,3,olgun,Comedy,17.0,"Metin Akpinar,Zeki Alasya,Asuman Arsan,Arzu Atalay",5.361666666666666,6.2
11,Bizimkiler,1989,2002,14,olgun,Comedy,15.5,"Ercan Yazgan,Halit Akçatepe,Erdal Özyagcilar,Ayse Kökçü",7.32,8.2
12,Susam sokagi,1989,1991,3,olgun,Comedy,15.5,"Köksal Engür,Altan Erkekli,Güven Hokna,Alpay Izbirak",7.086249999999999,7.2
13,Doktorlar,1989,1991,3,olgun,Adventure,16.5,"Arif Akkaya,Cüneyt Arkin,Nevin Aypar,Ahmet Açan",4.515,4.2
14,Ortabereket,1990,1991,2,basarili,Drama,18.0,"Recep Acay,Hakan Akin,Bulent Aksoy,Dersu Yavuz Altun",7.075000000000001,7.3
15,Ana,1991,1993,3,olgun,Comedy,16.0,"Aysen Gruda,Aykut Oray,Selen Büke,Mehmet Beyazit",6.875,7.2
16,Alim Dayi,1991,1995,5,olgun,Comedy,16.0,"Metin Bilgin,Ilhan Ersoy,Esin Karakullukcu,Kemal Kuruçay",7.8187500000000005,7.9
17,Plastip Show,1991,1994,4,olgun,Short,8.0,"Baris Manço,Aydogan Temel,Murat Disli,Ali Zeytinbas",5.8,5.8
18,Laf lafi açiyor,1991,2007,17,olgun,Comedy,15.0,"Cem Özer,Müjdat Gezen,Cenk Koray,Coskun Sabah",6.25,6.2
19,Show Ana Haber,1991,1993,3,olgun,News,15.0,"Jülide Ates,Pinar Erbas,Ece Üner",6.400000000000001,6.4
